
60034,"$100,000 under $200,000","22,318",
60034,"$200,000 or more","0",

60035,,"5,510,442",
60035,"$1 under $25,000","34,505",
60035,"$25,000 under $50,000","63,519",
60035,"$50,000 under $75,000","83,971",
60035,"$75,000 under $100,000","92,134",
60035,"$100,000 under $200,000","450,955",
60035,"$200,000 or more","4,785,358",

60040,,"166,342",
60040,"$1 under $25,000","10,529",
60040,"$25,000 under $50,000","24,632",
60040,"$50,000 under $75,000","19,761",
60040,"$75,000 under $100,000","14,556",
60040,"$100,000 under $200,000","33,403",
60040,"$200,000 or more","63,461",

60041,,"315,238",
60041,"$1 under $25,000","17,419",
60041,"$25,000 under $50,000","43,759",
60041,"$50,000 under $75,000","43,533",
60041,"$75,000 under $100,000","42,109",
60041,"$100,000 under $200,000","104,828",
60041,"$200,000 or more","63,590",

60042,,"286,983",
60042,"$1 under $25,000","15,635",
60042,"$25,000 under $50,000","38,960",
60042,"$50,000 under $75,000","47,542",
60042,"$75,000 under $100,000","45,910",
60042,"$100,000 under $200,000","105,926",
60042,"$200,000 or more","33,010",

60043,,"1,217,100",
60043,"$1 under $25,000","2,483",
60043,"$25,000 under $50,000","1,820",
60043,"$50,000 under $75,000","3,484",
60043,"$75,000 under $100,000","3,135",
60043,"$100,000 under $200,000","21,102",
60043,"$200,000 or more","1,185,076",

60044,,"1,039,981",
60044,"$1 under $25,000","12,351",
60044,"$25,000 under $50,000","26,957",
60044,"$50,000 under $75,000","32,846",
60044,"$75,000 under $100,000","35,205",
60044,"$100,000 under $200,000","140,789",
60044,"$200,000 or more","791,833",

60045,,"6,278,310",
60045,"$1 under $25,000","20,189",
60045,"$25,000 under $50,000","34,754",
60045,"$50,000 under $75,000","45,274",
60045,"$75,000 under $100,000","48,153",
60045,"$100,000 under $200,000","253,934",
60045,"$200,000 or more","5,876,006",

60046,,"1,505,479",
60046,"$1 under $25,000","50,511",
60046,"$25,000 under $50,000","110,948",
60046,"$50,000 under $75,000","145,483",
60046,"$75,000 under $100,000","168,198",
60046,"$100,000 under $200,000","557,844",
60046,"$200,000 or more","472,495",

60047,,"3,608,509",
60047,"$1 under $25,000","49,284",
60047,"$25,000 under $50,000","94,441",
60047,"$50,000 under $75,000","116,116",
60047,"$75,000 under $100,000","139,146",
60047,"$100,000 under $200,000","710,471",
60047,"$200,000 or more","2,499,051",

60048,,"3,059,143",
60048,"$1 under $25,000","31,389",
60048,"$25,000 under $50,000","59,376",
60048,"$50,000 under $75,000","82,078",
60048,"$75,000 under $100,000","96,824",
60048,"$100,000 under $200,000","485,706",
60048,"$200,000 or more","2,303,770",

60050,,"1,095,033",
60050,"$1 under $25,000","57,983",
60050,"$25,000 under $50,000","139,060",
60050,"$50,000 under $75,000","148,858",
60050,"$75,000 under $100,000","152,786",
60050,"$100,000 under $200,000","360,699",
60050,"$200,000 or more","235,647",

60051,,"963,648",
60051,"$1 under $25,000","42,796",
60051,"$25,000 under $50,000","101,701",
60051,"$50,000 under $75,000","123,835",
60051,"$75,000 under $100,000","130,748",
60051,"$100,000 under $200,000","344,030",
60051,"$200,000 or more","220,538",

60053,,"975,665",
60053,"$1 under $25,000","40,161",
60053,"$25,000 under $50,000","85,354",
60053,"$50,000 under $75,000","115,090",
60053,"$75,000 under $100,000","122,658",
60053,"$100,000 under $200,000","378,815",
60053,"$200,000 or more","233,587",

60056,,"2,253,359",
60056,"$1 under $25,000","95,976",
60056,"$25,000 under $50,000","219,879",
60056,"$50,000 under $75,000","245,335",
60056,"$75,000 under $100,000","247,459",
60056,"$100,000 under $200,000","794,544",
60056,"$200,000 or more","650,166",

60060,,"1,728,442",
60060,"$1 under $25,000","62,691",
60060,"$25,000 under $50,000","151,319",
60060,"$50,000 under $75,000","164,282",
60060,"$75,000 under $100,000","168,257",
60060,"$100,000 under $200,000","500,753",
60060,"$200,000 or more","681,140",

60061,,"1,543,385",
60061,"$1 under $25,000","34,882",
60061,"$25,000 under $50,000","81,396",
60061,"$50,000 under $75,000","101,235",
60061,"$75,000 under $100,000","114,107",
60061,"$100,000 under $200,000","404,539",
60061,"$200,000 or more","807,226",

60062,,"4,287,883",
60062,"$1 under $25,000","51,153",
60062,"$25,000 under $50,000","96,855",
60062,"$50,000 under $75,000","132,909",
60062,"$75,000 under $100,000","164,409",
60062,"$100,000 under $200,000","677,127",
60062,"$200,000 or more","3,165,430",

60064,,"209,540",
60064,"$1 under $25,000","42,717",
60064,"$25,000 under $50,000","74,043",
60064,"$50,000 under $75,000","42,285",
60064,"$75,000 under $100,000","21,541",
60064,"$100,000 under $200,000","28,954",
60064,"$200,000 or more","0",

60067,,"2,795,939",
60067,"$1 under $25,000","51,107",
60067,"$25,000 under $50,000","127,475",
60067,"$50,000 under $75,000","160,180",
60067,"$75,000 under $100,000","167,842",
60067,"$100,000 under $200,000","650,932",
60067,"$200,000 or more","1,638,403",

60068,,"2,981,561",
60068,"$1 under $25,000","50,274",
60068,"$25,000 under $50,000","98,381",
60068,"$50,000 under $75,000","144,129",
60068,"$75,000 under $100,000","152,749",
60068,"$100,000 under $200,000","656,061",
60068,"$200,000 or more","1,879,967",

60069,,"960,743",
60069,"$1 under $25,000","9,035",
60069,"$25,000 under $50,000","16,746",
60069,"$50,000 under $75,000","26,960",
60069,"$75,000 under $100,000","34,943",
60069,"$100,000 under $200,000","171,853",
60069,"$200,000 or more","701,206",

60070,,"644,724",
60070,"$1 under $25,000","29,020",
60070,"$25,000 under $50,000","71,799",
60070,"$50,000 under $75,000","74,738",
60070,"$75,000 under $100,000","66,146",
60070,"$100,000 under $200,000","173,871",
60070,"$200,000 or more","229,150",

60071,,"156,384",
60071,"$1 under $25,000","7,267",
60071,"$25,000 under $50,000","18,112",
60071,"$50,000 under $75,000","16,649",
60071,"$75,000 under $100,000","18,600",
60071,"$100,000 under $200,000","48,907",
60071,"$200,000 or more","46,849",

60072,,"54,165",
60072,"$1 under $25,000","1,576",
60072,"$25,000 under $50,000","3,200",
60072,"$50,000 under $75,000","3,547",
60072,"$75,000 under $100,000","4,049",
60072,"$100,000 under $200,000","17,173",
60072,"$200,000 or more","24,620",

60073,,"1,569,778",
60073,"$1 under $25,000","120,538",
60073,"$25,000 under $50,000","280,782",
60073,"$50,000 under $75,000","279,824",
60073,"$75,000 under $100,000","235,969",
60073,"$100,000 under $200,000","494,243",
60073,"$200,000 or more","158,422",

60074,,"1,259,460",
60074,"$1 under $25,000","76,706",
60074,"$25,000 under $50,000","178,785",
60074,"$50,000 under $75,000","179,823",
60074,"$75,000 under $100,000","155,069",
60074,"$100,000 under $200,000","407,688",
60074,"$200,000 or more","261,389",

60076,,"1,417,411",
60076,"$1 under $25,000","63,776",
60076,"$25,000 under $50,000","129,517",
60076,"$50,000 under $75,000","142,799",
60076,"$75,000 under $100,000","145,449",
60076,"$100,000 under $200,000","415,117",
60076,"$200,000 or more","520,753",

60077,,"984,168",
60077,"$1 under $25,000","57,247",
60077,"$25,000 under $50,000","118,135",
60077,"$50,000 under $75,000","120,852",
60077,"$75,000 under $100,000","116,602",
60077,"$100,000 under $200,000","286,532",
60077,"$200,000 or more","284,800",

60081,,"448,330",
60081,"$1 under $25,000","14,342",
60081,"$25,000 under $50,000","28,772",
60081,"$50,000 under $75,000","35,127",
60081,"$75,000 under $100,000","41,643",
60081,"$100,000 under $200,000","170,999",
60081,"$200,000 or more","157,447",

60083,,"537,674",
60083,"$1 under $25,000","14,229",
60083,"$25,000 under $50,000","31,934",
60083,"$50,000 under $75,000","44,028",
60083,"$75,000 under $100,000","46,928",
60083,"$100,000 under $200,000","158,710",
60083,"$200,000 or more","241,845",

60084,,"734,954",
60084,"$1 under $25,000","27,444",
60084,"$25,000 under $50,000","64,910",
60084,"$50,000 under $75,000","73,974",
60084,"$75,000 under $100,000","76,392",
60084,"$100,000 under $200,000","252,823",
60084,"$200,000 or more","239,411",

60085,,"1,191,984",
60085,"$1 under $25,000","184,274",
60085,"$25,000 under $50,000","387,029",
60085,"$50,000 under $75,000","237,802",
60085,"$75,000 under $100,000","147,885",
60085,"$100,000 under $200,000","173,706",
60085,"$200,000 or more","61,288",

60087,,"656,629",
60087,"$1 under $25,000","64,849",
60087,"$25,000 under $50,000","158,144",
60087,"$50,000 under $75,000","128,852",
60087,"$75,000 under $100,000","101,234",
60087,"$100,000 under $200,000","152,100",
60087,"$200,000 or more","51,450",

60088,,"64,659",
60088,"$1 under $25,000","9,328",
60088,"$25,000 under $50,000","21,003",
60088,"$50,000 under $75,000","16,167",
60088,"$75,000 under $100,000","6,847",
60088,"$100,000 under $200,000","11,314",
60088,"$200,000 or more","0",

60089,,"2,326,141",
60089,"$1 under $25,000","54,177",
60089,"$25,000 under $50,000","120,214",
60089,"$50,000 under $75,000","166,970",
60089,"$75,000 under $100,000","195,501",
60089,"$100,000 under $200,000","782,785",
60089,"$200,000 or more","1,006,494",

60090,,"1,195,738",
60090,"$1 under $25,000","77,701",
60090,"$25,000 under $50,000","194,019",
60090,"$50,000 under $75,000","215,374",
60090,"$75,000 under $100,000","191,340",
60090,"$100,000 under $200,000","340,118",
60090,"$200,000 or more","177,186",

60091,,"3,870,535",
60091,"$1 under $25,000","28,517",
60091,"$25,000 under $50,000","47,370",
60091,"$50,000 under $75,000","64,151",
60091,"$75,000 under $100,000","77,156",
60091,"$100,000 under $200,000","362,975",
60091,"$200,000 or more","3,290,366",

60093,,"6,359,382",
60093,"$1 under $25,000","21,855",
60093,"$25,000 under $50,000","34,565",
60093,"$50,000 under $75,000","42,089",
60093,"$75,000 under $100,000","44,621",
60093,"$100,000 under $200,000","198,042",
60093,"$200,000 or more","6,018,210",

60096,,"246,022",
60096,"$1 under $25,000","10,832",
60096,"$25,000 under $50,000","28,085",
60096,"$50,000 under $75,000","33,891",
60096,"$75,000 under $100,000","36,926",
60096,"$100,000 under $200,000","92,424",
60096,"$200,000 or more","43,864",

60097,,"322,602",
60097,"$1 under $25,000","20,490",
60097,"$25,000 under $50,000","48,272",
60097,"$50,000 under $75,000","56,166",
60097,"$75,000 under $100,000","58,336",
60097,"$100,000 under $200,000","106,640",
60097,"$200,000 or more","32,698",

60098,,"1,206,169",
60098,"$1 under $25,000","59,188",
60098,"$25,000 under $50,000","140,926",
60098,"$50,000 under $75,000","144,155",
60098,"$75,000 under $100,000","143,974",
60098,"$100,000 under $200,000","357,742",
60098,"$200,000 or more","360,184",

60099,,"673,059",
60099,"$1 under $25,000","74,277",
60099,"$25,000 under $50,000","148,788",
60099,"$50,000 under $75,000","116,875",
60099,"$75,000 under $100,000","103,648",
60099,"$100,000 under $200,000","183,095",
60099,"$200,000 or more","46,376",

60101,,"1,126,873",
60101,"$1 under $25,000","80,195",
60101,"$25,000 under $50,000","188,497",
60101,"$50,000 under $75,000","173,577",
60101,"$75,000 under $100,000","149,446",
60101,"$100,000 under $200,000","315,566",
60101,"$200,000 or more","219,592",

60102,,"1,409,572",
60102,"$1 under $25,000","46,781",
60102,"$25,000 under $50,000","105,866",
60102,"$50,000 under $75,000","137,530",
60102,"$75,000 under $100,000","162,448",
60102,"$100,000 under $200,000","555,563",
60102,"$200,000 or more","401,384",

60103,,"1,872,639",
60103,"$1 under $25,000","56,892",
60103,"$25,000 under $50,000","136,999",
60103,"$50,000 under $75,000","172,344",
60103,"$75,000 under $100,000","203,767",
60103,"$100,000 under $200,000","730,623",
60103,"$200,000 or more","572,014",

60104,,"398,939",
60104,"$1 under $25,000","51,679",
60104,"$25,000 under $50,000","116,984",
60104,"$50,000 under $75,000","99,669",
60104,"$75,000 under $100,000","60,658",
60104,"$100,000 under $200,000","62,693",
60104,"$200,000 or more","7,256",

60106,,"520,875",
60106,"$1 under $25,000","40,185",
60106,"$25,000 under $50,000","111,648",
60106,"$50,000 under $75,000","100,120",
60106,"$75,000 under $100,000","81,467",
60106,"$100,000 under $200,000","129,041",
60106,"$200,000 or more","58,414",

60107,,"1,204,035",
60107,"$1 under $25,000","77,363",
60107,"$25,000 under $50,000","198,306",
60107,"$50,000 under $75,000","223,127",
60107,"$75,000 under $100,000","200,777",
60107,"$100,000 under $200,000","375,571",
60107,"$200,000 or more","128,891",

60108,,"1,051,285",
60108,"$1 under $25,000","35,142",
60108,"$25,000 under $50,000","86,780",
60108,"$50,000 under $75,000","118,448",
60108,"$75,000 under $100,000","115,852",
60108,"$100,000 under $200,000","333,347",
60108,"$200,000 or more","361,716",

60110,,"927,300",
60110,"$1 under $25,000","85,650",
60110,"$25,000 under $50,000","195,921",
60110,"$50,000 under $75,000","168,453",
60110,"$75,000 under $100,000","124,181",
60110,"$100,000 under $200,000","237,758",
60110,"$200,000 or more","115,337",

60111,,"10,785",
60111,"$1 under $25,000",362,
60111,"$25,000 under $50,000","1,655",
60111,"$50,000 under $75,000","0",
60111,"$75,000 under $100,000","2,356",
60111,"$100,000 under $200,000","6,412",
60111,"$200,000 or more","0",

60112,,"123,500",
60112,"$1 under $25,000","7,594",
60112,"$25,000 under $50,000","19,426",
60112,"$50,000 under $75,000","23,221",
60112,"$75,000 under $100,000","23,110",
60112,"$100,000 under $200,000","50,149",
60112,"$200,000 or more","0",

60115,,"942,450",
60115,"$1 under $25,000","86,629",
60115,"$25,000 under $50,000","153,326",
60115,"$50,000 under $75,000","138,595",
60115,"$75,000 under $100,000","126,002",
60115,"$100,000 under $200,000","279,454",
60115,"$200,000 or more","158,444",

60118,,"794,764",
60118,"$1 under $25,000","26,813",
60118,"$25,000 under $50,000","65,168",
60118,"$50,000 under $75,000","78,841",
60118,"$75,000 under $100,000","75,455",
60118,"$100,000 under $200,000","255,469",
60118,"$200,000 or more","293,018",

60119,,"554,869",
60119,"$1 under $25,000","14,422",
60119,"$25,000 under $50,000","30,897",
60119,"$50,000 under $75,000","39,387",
60119,"$75,000 under $100,000","48,858",
60119,"$100,000 under $200,000","206,753",
60119,"$200,000 or more","214,552",

60120,,"1,177,093",
60120,"$1 under $25,000","117,178",
60120,"$25,000 under $50,000","286,310",
60120,"$50,000 under $75,000","228,691",
60120,"$75,000 under $100,000","168,451",
60120,"$100,000 under $200,000","272,529",
60120,"$200,000 or more","103,934",

60123,,"1,203,817",
60123,"$1 under $25,000","104,835",
60123,"$25,000 under $50,000","237,814",
60123,"$50,000 under $75,000","222,294",
60123,"$75,000 under $100,000","186,643",
60123,"$100,000 under $200,000","339,999",
60123,"$200,000 or more","112,232",

60124,,"1,285,998",
60124,"$1 under $25,000","27,691",
60124,"$25,000 under $50,000","62,277",
60124,"$50,000 under $75,000","88,022",
60124,"$75,000 under $100,000","121,461",
60124,"$100,000 under $200,000","492,255",
60124,"$200,000 or more","494,292",

60126,,"3,610,411",
60126,"$1 under $25,000","55,924",
60126,"$25,000 under $50,000","117,314",
60126,"$50,000 under $75,000","158,309",
60126,"$75,000 under $100,000","175,386",
60126,"$100,000 under $200,000","709,588",
60126,"$200,000 or more","2,393,890",

60129,,"6,365",
60129,"$1 under $25,000",527,
60129,"$25,000 under $50,000","2,101",
60129,"$50,000 under $75,000","0",
60129,"$75,000 under $100,000","3,737",
60129,"$100,000 under $200,000","0",
